               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.05148,            0.015485,            0.021225,             0.58058,             0.51931,             0.53592,             0.24664,            0.047288,           0.0088745,            0.020468,            0.008812,            0.008812,            0.008812
                  38,             0.05129,             0.01545,            0.021213,             0.58382,              0.5192,              0.5366,             0.24724,            0.047256,           0.0088727,             0.02047,            0.008779,            0.008779,            0.008779
                  39,            0.051598,            0.015568,            0.021247,             0.58006,             0.51943,             0.53731,             0.24905,            0.047218,           0.0088679,            0.020456,            0.008746,            0.008746,            0.008746
                  40,            0.051274,            0.015354,            0.021242,             0.58036,             0.52542,             0.53942,             0.24971,            0.047189,           0.0088614,            0.020456,            0.008713,            0.008713,            0.008713
                  41,            0.051579,            0.015424,             0.02127,             0.58126,              0.5257,             0.53944,             0.25038,            0.047146,           0.0088571,             0.02045,             0.00868,             0.00868,             0.00868
                  42,            0.051325,            0.015207,             0.02118,             0.58024,             0.52838,             0.54025,             0.24995,            0.047128,           0.0088575,            0.020452,            0.008647,            0.008647,            0.008647
                  43,            0.051067,            0.015312,            0.021062,             0.57805,             0.53037,             0.54132,             0.25064,            0.047108,           0.0088541,            0.020446,            0.008614,            0.008614,            0.008614
                  44,            0.051057,             0.01537,              0.0212,             0.58338,             0.52704,              0.5427,             0.25095,            0.047088,           0.0088497,             0.02044,            0.008581,            0.008581,            0.008581
                  45,            0.051222,             0.01531,            0.021026,             0.58392,             0.52625,             0.54292,              0.2509,            0.047063,            0.008848,            0.020439,            0.008548,            0.008548,            0.008548
                  46,            0.050966,            0.015243,            0.021157,             0.58455,             0.52363,             0.54346,             0.25146,            0.047046,           0.0088477,            0.020433,            0.008515,            0.008515,            0.008515
                  47,            0.050659,            0.015217,            0.021045,             0.58707,             0.52272,              0.5443,             0.25157,            0.047024,           0.0088461,            0.020427,            0.008482,            0.008482,            0.008482
                  48,            0.050613,            0.015243,            0.021072,              0.5866,             0.52207,             0.54507,             0.25191,            0.047008,           0.0088466,            0.020425,            0.008449,            0.008449,            0.008449
                  49,            0.051049,            0.015028,            0.021119,             0.58659,             0.52229,              0.5458,             0.25214,            0.046991,           0.0088449,            0.020421,            0.008416,            0.008416,            0.008416
                  50,            0.050698,            0.015075,            0.020933,             0.58382,             0.52428,             0.54613,             0.25279,            0.046976,           0.0088433,            0.020418,            0.008383,            0.008383,            0.008383
                  51,            0.050467,            0.015267,            0.020844,             0.58514,             0.52488,              0.5461,              0.2527,            0.046963,           0.0088413,             0.02042,             0.00835,             0.00835,             0.00835
                  52,            0.050494,            0.015159,            0.020845,             0.58465,             0.52677,             0.54681,             0.25308,            0.046948,           0.0088416,             0.02041,            0.008317,            0.008317,            0.008317
                  53,            0.050619,            0.015237,            0.020708,              0.5834,             0.52674,             0.54688,             0.25327,             0.04694,           0.0088396,            0.020406,            0.008284,            0.008284,            0.008284
                  54,            0.050491,            0.015216,            0.020883,             0.58504,             0.52753,             0.54704,             0.25385,             0.04693,            0.008836,            0.020406,            0.008251,            0.008251,            0.008251
