;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0,5;metrics/mAP_0,5:0,95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
49;0,031637;0,0070394;0;0,94046;0,74336;0,8805;0,6109;0,038008;0,0026706;0;0,005248;0,005248;0,005248
50;0,031889;0,0071752;0;0,90386;0,74883;0,83843;0,63477;0,042138;0,002767;0;0,005149;0,005149;0,005149
51;0,031514;0,0072092;0;0,84988;0,75153;0,84573;0,62479;0,042264;0,0027332;0;0,00505;0,00505;0,00505
52;0,033057;0,0068211;0;0,72929;0,61947;0,70345;0,42667;0,043119;0,0038098;0;0,004951;0,004951;0,004951
53;0,032136;0,0070315;0;0,93249;0,85561;0,89584;0,63959;0,03703;0,0025188;0;0,004852;0,004852;0,004852
54;0,030784;0,0067525;0;0,84836;0,79214;0,86881;0,6037;0,038456;0,0026876;0;0,004753;0,004753;0,004753
55;0,030889;0,006734;0;0,87453;0,78761;0,87019;0,62527;0,037525;0,0024484;0;0,004654;0,004654;0,004654
56;0,032195;0,0069283;0;0,85422;0,75221;0,84889;0,60687;0,035302;0,0024555;0;0,004555;0,004555;0,004555
57;0,031535;0,0066524;0;0,86654;0,75221;0,83592;0,59405;0,040178;0,002808;0;0,004456;0,004456;0,004456
58;0,03081;0,0069162;0;0,90659;0,77307;0,86139;0,62363;0,039732;0,002666;0;0,004357;0,004357;0,004357
59;0,030467;0,006597;0;0,88926;0,80531;0,88731;0,64717;0,037506;0,0024515;0;0,004258;0,004258;0,004258
60;0,028988;0,0067196;0;0,87005;0,82952;0,86562;0,63003;0,039105;0,0026159;0;0,004159;0,004159;0,004159
61;0,030206;0,0066584;0;0,86226;0,83096;0,89435;0,62458;0,038361;0,0024239;0;0,00406;0,00406;0,00406
62;0,02884;0,00674;0;0,78798;0,72357;0,80146;0,60637;0,045824;0,0028328;0;0,003961;0,003961;0,003961
63;0,030051;0,0066757;0;0,90728;0,76106;0,87291;0,65597;0,033847;0,0024901;0;0,003862;0,003862;0,003862
64;0,030089;0,0063825;0;0,85499;0,77876;0,85872;0,62076;0,034592;0,0026501;0;0,003763;0,003763;0,003763
65;0,02931;0,0066247;0;0,86278;0,83467;0,88998;0,64013;0,034696;0,0024582;0;0,003664;0,003664;0,003664
66;0,030155;0,0063029;0;0,90203;0,81416;0,87767;0,64553;0,034357;0,002462;0;0,003565;0,003565;0,003565
67;0,028469;0,0064205;0;0,90794;0,74336;0,86584;0,63849;0,03837;0,0025051;0;0,003466;0,003466;0,003466
68;0,028672;0,0065467;0;0,914;0,75242;0,87841;0,63413;0,032397;0,0027746;0;0,003367;0,003367;0,003367
69;0,02775;0,006324;0;0,93892;0,80531;0,91392;0,69517;0,033907;0,0022695;0;0,003268;0,003268;0,003268
70;0,027905;0,0062113;0;0,95688;0,74336;0,88752;0,67587;0,033835;0,002346;0;0,003169;0,003169;0,003169
71;0,028164;0,0062;0;0,81718;0,79117;0,84429;0,64429;0,03385;0,0025873;0;0,00307;0,00307;0,00307
72;0,029932;0,0064563;0;0,90387;0,84956;0,9131;0,69596;0,028623;0,0022995;0;0,002971;0,002971;0,002971
73;0,028322;0,006161;0;0,85945;0,75221;0,86753;0,67935;0,038721;0,0023984;0;0,002872;0,002872;0,002872
74;0,026911;0,0062282;0;0,93572;0,79646;0,90052;0,68725;0,032423;0,0023885;0;0,002773;0,002773;0,002773
75;0,027265;0,0059998;0;0,89518;0,82301;0,89197;0,63638;0,032731;0,0025011;0;0,002674;0,002674;0,002674
76;0,027346;0,0058598;0;0,89107;0,83186;0,90573;0,68492;0,033996;0,0023751;0;0,002575;0,002575;0,002575
77;0,027195;0,0059729;0;0,91049;0,81013;0,906;0,68911;0,032598;0,0023763;0;0,002476;0,002476;0,002476
78;0,026655;0,0061264;0;0,95722;0,79213;0,93007;0,70146;0,033357;0,0022939;0;0,002377;0,002377;0,002377
79;0,026841;0,0059795;0;0,85286;0,86726;0,91817;0,71073;0,030164;0,0023286;0;0,002278;0,002278;0,002278
80;0,026979;0,0060466;0;0,8502;0,80362;0,87822;0,65318;0,034587;0,0024222;0;0,002179;0,002179;0,002179
81;0,026923;0,0061298;0;0,82579;0,88095;0,90982;0,69938;0,034311;0,0022725;0;0,00208;0,00208;0,00208
82;0,027041;0,0057755;0;0,86836;0,87561;0,90793;0,71323;0,031639;0,0023515;0;0,001981;0,001981;0,001981
83;0,025264;0,0057849;0;0,87595;0,83186;0,90418;0,68626;0,030051;0,002496;0;0,001882;0,001882;0,001882
84;0,025855;0,0058167;0;0,90153;0,8102;0,90821;0,7234;0,033611;0,0023221;0;0,001783;0,001783;0,001783
85;0,024846;0,0058054;0;0,93593;0,84956;0,92951;0,71439;0,032045;0,0022925;0;0,001684;0,001684;0,001684
86;0,025387;0,0058096;0;0,86107;0,80531;0,90946;0,70598;0,030155;0,0024028;0;0,001585;0,001585;0,001585
87;0,026195;0,005777;0;0,84868;0,84376;0,8925;0,71336;0,030095;0,0023869;0;0,001486;0,001486;0,001486
88;0,023753;0,0054984;0;0,90257;0,83186;0,91531;0,70486;0,03178;0,0023574;0;0,001387;0,001387;0,001387
89;0,024317;0,0054899;0;0,84626;0,88496;0,91719;0,70658;0,033005;0,0022601;0;0,001288;0,001288;0,001288
90;0,024376;0,0056058;0;0,93852;0,77876;0,92411;0,74074;0,030946;0,0021759;0;0,001189;0,001189;0,001189
91;0,023778;0,0057265;0;0,89751;0,78761;0,91247;0,72944;0,032096;0,0022539;0;0,00109;0,00109;0,00109
92;0,022854;0,0054805;0;0,86184;0,84956;0,92296;0,72165;0,028521;0,0022349;0;0,000991;0,000991;0,000991
93;0,023551;0,0055463;0;0,85798;0,86726;0,91695;0,71399;0,030027;0,0022745;0;0,000892;0,000892;0,000892
94;0,02449;0,0054425;0;0,8545;0,88357;0,92286;0,72622;0,030286;0,0022178;0;0,000793;0,000793;0,000793
95;0,024358;0,0055631;0;0,91014;0,83186;0,92202;0,72575;0,029933;0,0022034;0;0,000694;0,000694;0,000694
96;0,023516;0,0055096;0;0,85925;0,87611;0,92356;0,73051;0,031929;0,0021784;0;0,000595;0,000595;0,000595
97;0,023923;0,0054449;0;0,91381;0,84448;0,92112;0,72434;0,029195;0,002224;0;0,000496;0,000496;0,000496
98;0,02141;0,0055029;0;0,88671;0,92035;0,936;0,74473;0,029075;0,0021544;0;0,000397;0,000397;0,000397
99;0,022237;0,0053403;0;0,88425;0,86726;0,92722;0,72939;0,029632;0,0022294;0;0,000298;0,000298;0,000298
