               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048451,            0.014991,            0.020709,             0.61023,              0.5556,             0.57846,              0.2801,            0.044735,           0.0086579,            0.020063,           0.0091337,           0.0091337,           0.0091337
                  37,            0.048019,            0.014897,            0.020577,              0.6121,             0.55471,             0.57802,             0.28097,            0.044692,           0.0086565,            0.020056,            0.009109,            0.009109,            0.009109
                  38,            0.047577,            0.014783,            0.020441,              0.6128,             0.55616,             0.57818,              0.2817,            0.044672,            0.008653,             0.02005,           0.0090843,           0.0090843,           0.0090843
                  39,            0.048287,            0.014977,            0.020708,             0.61361,             0.55689,             0.57937,             0.28216,            0.044679,           0.0086502,            0.020037,           0.0090595,           0.0090595,           0.0090595
                  40,            0.047613,            0.014788,            0.020368,             0.61566,             0.55515,             0.58108,             0.28292,            0.044657,           0.0086453,            0.020028,           0.0090347,           0.0090347,           0.0090347
                  41,            0.048098,            0.014839,            0.020519,             0.61711,              0.5553,              0.5821,             0.28342,            0.044647,           0.0086387,            0.020021,             0.00901,             0.00901,             0.00901
                  42,            0.047803,            0.014682,             0.02045,             0.61586,             0.55447,             0.58193,             0.28335,            0.044636,           0.0086377,            0.020015,           0.0089853,           0.0089853,           0.0089853
                  43,            0.047402,            0.014699,            0.020432,             0.61983,             0.55112,              0.5815,             0.28339,            0.044626,           0.0086342,             0.02001,           0.0089605,           0.0089605,           0.0089605
                  44,             0.04758,            0.014757,            0.020507,             0.62383,                0.55,             0.58245,              0.2842,            0.044614,           0.0086324,            0.020009,           0.0089358,           0.0089358,           0.0089358
                  45,            0.047503,            0.014722,            0.020363,             0.62475,             0.55097,              0.5837,             0.28475,            0.044594,           0.0086295,            0.020009,            0.008911,            0.008911,            0.008911
                  46,            0.047293,            0.014642,            0.020355,             0.62391,             0.54973,             0.58398,             0.28529,            0.044572,            0.008627,            0.020009,           0.0088863,           0.0088863,           0.0088863
                  47,            0.047316,            0.014654,            0.020304,             0.62496,              0.5497,             0.58421,             0.28556,            0.044547,           0.0086262,            0.020011,           0.0088615,           0.0088615,           0.0088615
                  48,            0.046984,            0.014689,            0.020262,             0.62812,             0.54864,             0.58454,              0.2858,            0.044538,           0.0086252,            0.020014,           0.0088368,           0.0088368,           0.0088368
                  49,             0.04725,            0.014486,            0.020323,             0.63395,             0.54371,             0.58494,             0.28605,             0.04453,           0.0086239,            0.020012,            0.008812,            0.008812,            0.008812
