               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.055123,            0.016292,            0.022454,             0.52189,             0.47015,             0.46124,             0.20286,            0.049982,           0.0093576,            0.020881,            0.008812,            0.008812,            0.008812
                  38,            0.054747,            0.016226,            0.022402,             0.52153,             0.47006,             0.46355,             0.20389,            0.049912,           0.0093511,            0.020869,            0.008779,            0.008779,            0.008779
                  39,            0.055139,            0.016374,            0.022558,             0.52332,             0.47183,             0.46481,             0.20511,             0.04986,           0.0093436,            0.020857,            0.008746,            0.008746,            0.008746
                  40,             0.05474,            0.016139,             0.02234,             0.52136,             0.47302,             0.46607,             0.20585,            0.049796,           0.0093371,            0.020844,            0.008713,            0.008713,            0.008713
                  41,            0.054919,            0.016203,             0.02243,             0.52258,             0.47408,             0.46724,             0.20663,            0.049728,           0.0093289,             0.02083,             0.00868,             0.00868,             0.00868
                  42,            0.054698,            0.016022,             0.02237,              0.5249,              0.4749,             0.46846,             0.20726,            0.049675,            0.009321,            0.020819,            0.008647,            0.008647,            0.008647
                  43,            0.054369,            0.016102,            0.022255,             0.52692,             0.47317,             0.46898,             0.20785,            0.049632,           0.0093117,            0.020808,            0.008614,            0.008614,            0.008614
                  44,            0.054379,             0.01612,            0.022377,             0.53009,             0.47274,             0.47043,             0.20826,            0.049588,           0.0093062,            0.020797,            0.008581,            0.008581,            0.008581
                  45,            0.054467,            0.016107,            0.022269,             0.53178,             0.47276,             0.47164,             0.20867,            0.049545,           0.0092986,            0.020788,            0.008548,            0.008548,            0.008548
                  46,            0.054221,            0.015995,            0.022316,             0.53356,             0.47295,             0.47353,             0.20946,            0.049506,           0.0092894,            0.020778,            0.008515,            0.008515,            0.008515
                  47,            0.053969,            0.016038,             0.02219,              0.5336,              0.4755,             0.47452,             0.20999,            0.049467,           0.0092832,            0.020765,            0.008482,            0.008482,            0.008482
                  48,            0.053931,            0.016035,            0.022248,             0.53473,             0.47736,             0.47579,             0.21083,            0.049428,           0.0092783,            0.020755,            0.008449,            0.008449,            0.008449
                  49,            0.054124,            0.015739,            0.022199,             0.53609,             0.47725,             0.47667,             0.21129,            0.049387,           0.0092724,            0.020744,            0.008416,            0.008416,            0.008416
                  50,            0.053783,            0.015853,            0.022025,             0.53582,             0.47831,             0.47768,             0.21172,            0.049353,           0.0092664,            0.020735,            0.008383,            0.008383,            0.008383
                  51,            0.053658,            0.016052,            0.021934,             0.53812,             0.47773,             0.47827,             0.21189,            0.049328,           0.0092614,            0.020729,             0.00835,             0.00835,             0.00835
                  52,            0.053734,            0.015932,             0.02206,             0.54108,             0.47662,             0.47951,              0.2125,            0.049296,           0.0092534,            0.020719,            0.008317,            0.008317,            0.008317
                  53,             0.05372,             0.01595,            0.021897,              0.5424,             0.47706,             0.48032,             0.21322,             0.04926,            0.009246,            0.020708,            0.008284,            0.008284,            0.008284
                  54,            0.053709,            0.015998,            0.021936,             0.54457,             0.47423,             0.48032,             0.21359,            0.049227,           0.0092401,            0.020702,            0.008251,            0.008251,            0.008251
                  55,            0.053511,               0.016,            0.022046,             0.54781,             0.47604,             0.48169,             0.21441,            0.049193,           0.0092331,            0.020695,            0.008218,            0.008218,            0.008218
                  56,            0.053307,            0.015688,            0.022051,             0.54605,             0.47693,             0.48181,             0.21503,            0.049155,           0.0092269,            0.020688,            0.008185,            0.008185,            0.008185
                  57,            0.053493,            0.015921,            0.021857,             0.54683,             0.47831,             0.48316,             0.21567,            0.049123,           0.0092199,            0.020684,            0.008152,            0.008152,            0.008152
                  58,            0.053262,            0.015813,            0.021881,             0.54588,             0.47956,             0.48384,             0.21604,            0.049093,            0.009213,            0.020677,            0.008119,            0.008119,            0.008119
                  59,            0.053094,             0.01576,            0.021698,             0.54907,             0.47996,             0.48544,             0.21636,            0.049063,           0.0092075,            0.020669,            0.008086,            0.008086,            0.008086
                  60,            0.053137,            0.015913,            0.021776,             0.54908,             0.48219,             0.48644,             0.21702,            0.049033,           0.0092032,            0.020666,            0.008053,            0.008053,            0.008053
                  61,            0.052787,            0.015804,            0.021739,             0.54842,             0.48226,             0.48707,             0.21734,            0.049005,           0.0091977,            0.020664,             0.00802,             0.00802,             0.00802
