;             train/loss;               val/loss;  metrics/accuracy_top1;  metrics/accuracy_top5;                   lr/0
192;0,35841;0,33519;0,98432;1;0,00052233
193;0,36193;0,33533;0,98389;1;0,00051985
194;0,36299;0,33554;0,98389;1;0,00051737
195;0,3582;0,33571;0,98389;1;0,0005149
196;0,36063;0,33565;0,98389;1;0,00051243
197;0,36703;0,33594;0,98345;1;0,00050995
198;0,36179;0,33617;0,98171;1;0,00050747
199;0,36382;0,33623;0,98171;1;0,000505
200;0,3602;0,33634;0,98171;1;0,00050252
201;0,35575;0,33653;0,98171;1;0,00050005
202;0,35774;0,33636;0,98171;1;0,00049758
203;0,35478;0,33666;0,98127;1;0,0004951
204;0,36127;0,33658;0,98171;1;0,00049263
205;0,35676;0,33672;0,98171;1;0,00049015
206;0,36168;0,33677;0,98171;1;0,00048768
207;0,35963;0,33684;0,98171;1;0,0004852
208;0,35271;0,33701;0,98171;1;0,00048273
209;0,35916;0,33695;0,98214;1;0,00048025
210;0,35459;0,33685;0,98214;1;0,00047778
211;0,35585;0,33688;0,98214;1;0,0004753
212;0,35793;0,33686;0,98214;1;0,00047283
213;0,35631;0,33662;0,98214;1;0,00047035
214;0,36139;0,33682;0,98214;1;0,00046788
215;0,35458;0,33678;0,98214;1;0,0004654
216;0,35344;0,33691;0,98214;1;0,00046293
217;0,35298;0,33682;0,98214;1;0,00046045
218;0,35735;0,33704;0,98214;1;0,00045798
219;0,35288;0,33705;0,98214;1;0,0004555
220;0,35914;0,33696;0,98345;1;0,00045303
221;0,35195;0,3371;0,98345;1;0,00045055
222;0,35049;0,33718;0,98345;1;0,00044808
223;0,34992;0,33712;0,98345;1;0,0004456
224;0,35409;0,33702;0,98345;1;0,00044312
225;0,35226;0,33702;0,98345;1;0,00044065
226;0,35012;0,33669;0,98345;1;0,00043818
227;0,34927;0,33657;0,98345;1;0,0004357
228;0,34732;0,3363;0,98345;1;0,00043322
229;0,35365;0,33614;0,98345;1;0,00043075
230;0,3497;0,33611;0,98345;1;0,00042828
231;0,3503;0,336;0,98345;1;0,0004258
232;0,34894;0,33578;0,98345;1;0,00042333
233;0,35117;0,33597;0,98301;1;0,00042085
234;0,34626;0,33569;0,98301;1;0,00041838
235;0,34921;0,33567;0,98301;1;0,0004159
236;0,3455;0,33553;0,98345;1;0,00041342
237;0,34606;0,33541;0,98389;1;0,00041095
238;0,35129;0,33518;0,98432;1;0,00040847
239;0,34601;0,33515;0,98476;1;0,000406
240;0,34968;0,335;0,98519;1;0,00040352
241;0,34923;0,33478;0,98519;1;0,00040105
242;0,34677;0,33453;0,98563;1;0,00039857
243;0,34652;0,33448;0,98563;1;0,0003961
244;0,35091;0,33442;0,98563;1;0,00039362
245;0,34644;0,33427;0,98563;1;0,00039115
246;0,3476;0,33412;0,98563;1;0,00038867
247;0,34408;0,33403;0,98519;1;0,0003862
248;0,35272;0,33386;0,98519;1;0,00038372
249;0,34479;0,33378;0,98519;1;0,00038125
250;0,3456;0,33387;0,98519;1;0,00037878
251;0,34619;0,33352;0,98519;1;0,0003763
252;0,3442;0,33329;0,98476;1;0,00037383
253;0,3428;0,33322;0,98476;1;0,00037135
254;0,34451;0,3331;0,98476;1;0,00036888
255;0,34845;0,33273;0,98476;1;0,0003664
256;0,34537;0,33246;0,98519;1;0,00036393
257;0,345;0,33222;0,98693;1;0,00036145
258;0,34741;0,33221;0,98693;1;0,00035898
259;0,34466;0,332;0,98693;1;0,0003565
260;0,33992;0,33176;0,98693;1;0,00035403
261;0,34499;0,33164;0,98737;1;0,00035155
262;0,34507;0,33126;0,98737;1;0,00034908
263;0,34241;0,33094;0,98737;1;0,0003466
264;0,34159;0,3305;0,98737;1;0,00034413
265;0,34283;0,33022;0,98737;1;0,00034165
266;0,34266;0,32994;0,98737;1;0,00033917
267;0,33922;0,32959;0,98737;1;0,0003367
268;0,34083;0,32941;0,98737;1;0,00033423
269;0,33938;0,32904;0,98737;1;0,00033175
270;0,34061;0,32866;0,98737;1;0,00032928
271;0,3409;0,32849;0,9878;1;0,0003268
272;0,34063;0,32824;0,98824;1;0,00032433
273;0,34366;0,32804;0,98824;1;0,00032185
274;0,33876;0,32776;0,98868;1;0,00031938
275;0,33887;0,32736;0,98955;1;0,0003169
276;0,33941;0,32704;0,98955;1;0,00031443
277;0,33997;0,32677;0,98998;1;0,00031195
278;0,33836;0,32653;0,98998;1;0,00030948
279;0,33704;0,32628;0,98998;1;0,000307
280;0,34078;0,32593;0,98998;1;0,00030452
281;0,33964;0,32564;0,98998;1;0,00030205
282;0,33805;0,32537;0,99042;1;0,00029958
283;0,33722;0,32519;0,98998;1;0,0002971
284;0,33998;0,32497;0,98998;1;0,00029462
285;0,33803;0,3247;0,98998;1;0,00029215
286;0,33708;0,32458;0,98998;1;0,00028967
287;0,33452;0,32446;0,98998;1;0,0002872
288;0,3355;0,32424;0,98998;1;0,00028472
289;0,33401;0,32399;0,98998;1;0,00028225
290;0,33729;0,32393;0,98998;1;0,00027978
291;0,33428;0,32361;0,98998;1;0,0002773
292;0,3343;0,32342;0,99042;1;0,00027482
293;0,33526;0,32301;0,99042;1;0,00027235
