               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.065746,            0.011859,            0.022135,             0.64606,              0.1317,            0.078542,            0.027453,            0.062672,           0.0070734,            0.019542,            0.006535,            0.006535,            0.006535
                  37,            0.064835,            0.011952,            0.021425,             0.56101,             0.13983,            0.083605,            0.030535,            0.062631,           0.0070535,            0.020305,            0.006436,            0.006436,            0.006436
                  38,             0.06456,            0.012035,            0.021223,             0.59241,             0.12727,            0.086581,            0.030704,            0.062287,            0.007076,             0.02005,            0.006337,            0.006337,            0.006337
                  39,            0.064644,             0.01205,            0.021802,             0.55496,             0.14006,            0.086387,            0.031721,            0.062232,           0.0071055,            0.019076,            0.006238,            0.006238,            0.006238
                  40,            0.064601,              0.0119,            0.021012,             0.57348,             0.13675,             0.10918,            0.037373,            0.061477,           0.0071281,            0.019538,            0.006139,            0.006139,            0.006139
                  41,            0.064275,            0.012035,            0.021002,             0.57737,             0.13816,            0.092981,             0.03245,            0.061945,           0.0070145,            0.020487,             0.00604,             0.00604,             0.00604
                  42,            0.064059,            0.011828,            0.020864,               0.583,             0.13939,            0.096819,            0.032908,            0.062061,           0.0070894,            0.019439,            0.005941,            0.005941,            0.005941
                  43,            0.064609,            0.011771,            0.020538,               0.667,             0.13619,            0.093542,             0.03162,            0.061924,           0.0070757,             0.01941,            0.005842,            0.005842,            0.005842
                  44,            0.063873,            0.012081,            0.020315,             0.54101,             0.13149,            0.095366,              0.0323,            0.061603,           0.0070104,            0.019071,            0.005743,            0.005743,            0.005743
                  45,            0.063718,            0.012194,            0.020048,             0.55678,             0.14775,             0.10657,            0.038362,            0.060783,           0.0070262,            0.019006,            0.005644,            0.005644,            0.005644
                  46,            0.063062,            0.011843,            0.019117,             0.49706,             0.12645,             0.10754,            0.038521,            0.061037,           0.0069496,            0.018535,            0.005545,            0.005545,            0.005545
                  47,            0.062916,            0.011996,            0.020001,             0.57962,             0.16265,              0.1062,            0.038066,            0.060572,           0.0070424,            0.018683,            0.005446,            0.005446,            0.005446
                  48,             0.06274,            0.011805,            0.019332,             0.65267,             0.15248,             0.10922,            0.039341,            0.060719,             0.00699,            0.018715,            0.005347,            0.005347,            0.005347
                  49,            0.062645,            0.011812,            0.018817,             0.56883,             0.15677,             0.11715,             0.04045,            0.060881,           0.0069895,            0.018706,            0.005248,            0.005248,            0.005248
                  50,            0.062881,            0.011722,            0.018832,             0.58641,             0.15657,             0.11481,             0.04119,            0.060539,           0.0070048,             0.01839,            0.005149,            0.005149,            0.005149
                  51,            0.062027,            0.011485,             0.01833,             0.59657,             0.15464,             0.11819,            0.040137,            0.060541,           0.0069701,            0.018186,             0.00505,             0.00505,             0.00505
                  52,            0.062528,              0.0118,            0.018397,             0.57772,             0.16348,             0.11575,            0.039365,            0.060309,           0.0069652,            0.018977,            0.004951,            0.004951,            0.004951
                  53,            0.062101,            0.011484,            0.018945,             0.61971,             0.15225,             0.11747,            0.039924,            0.060304,           0.0069942,            0.018836,            0.004852,            0.004852,            0.004852
                  54,            0.061241,            0.011818,            0.017815,             0.60632,             0.14885,             0.11685,            0.038762,            0.059938,           0.0070186,            0.018475,            0.004753,            0.004753,            0.004753
                  55,            0.061553,            0.011914,            0.017863,             0.59706,             0.16164,             0.12085,            0.040225,            0.060697,           0.0069459,            0.018951,            0.004654,            0.004654,            0.004654
                  56,            0.060942,            0.011769,            0.017412,              0.6107,             0.15906,             0.11982,             0.04036,            0.060401,           0.0069396,            0.018167,            0.004555,            0.004555,            0.004555
